FieldsBase Mooring Buoy Search - Data Download,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:16 for Dirk Rook,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Water depth (m),Vessel max size (dwt),Hose count,Remark
,,,,Ras Laffan Condensate Export,Qatargas,Installed,,2007,11,,0,10/06: qatargas operating co awards bluewater contract for 2xspmbuoy systems for offloading condensate. 54km offshore from refinery
,,,Ras-El-Shaqiq,Ras-El-Shaqiq,WEPCO,Installed,Catenary Anchor Leg Mooring,1968,24,"100,000",2,
,,,Ras-Es-Sider,Ras-Es-Sider 1965,Oasis Oil,Installed,Catenary Anchor Leg Mooring,1965,31,"100,000",3,
,,,Ras-Es-Sider,Ras-es-Sider 1969,Oasis Oil,Installed,Catenary Anchor Leg Mooring,1969,31,"255,000",2,
,,,Ras-Es-Sider,Ras-Es-Sider 1981,Oasis Oil,Installed,Catenary Anchor Leg Mooring,1981,31,"300,000",2,
,,,Ras-Es-Sider,Ras-Es-Sider 1983,Oasis Oil,Installed,Catenary Anchor Leg Mooring,1983,31,"250,000",2,Stock unit.
,,,Rospo Mare,Rospo Mare Buoy,"Edison, Elf",Installed,Catenary Anchor Leg Mooring,1982,75,"35,000",1,
,,,Sao Francisco Do Sul,Sao Francisco Do Sul,Petrobras,Installed,Catenary Anchor Leg Mooring,1976,22,"200,000",2,
,,,Semarang Field,Semarang Field,Pertamina,Installed,Catenary Anchor Leg Mooring,1981,12,"17,000",1,Fuel oil supply.
,,,Seria Field,Seria Field,,Installed,Catenary Anchor Leg Mooring,1975,20,"210,000",2,
,,,Singapore Harbor,Singapore Harbor,,Installed,Catenary Anchor Leg Mooring,1971,27,"252,000",2,
,,,Singapore Harbor,Singapore Harbor,,Installed,Catenary Anchor Leg Mooring,1980,32,"300,000",2,
,,,South China Sea Area,South China Sea Area,,Installed,Catenary Anchor Leg Mooring,1994,,"250,000",0,
,,,St Eustatius Island,St Eustatius Island,CHICAGO BRIDGE INTER,Installed,,1994,2,,0,Oil terminal import/export line and loading buoy installation
,,,Subic Bay,Subic Bay,US Navy,Installed,Catenary Anchor Leg Mooring,1967,26,"108,000",3,
,,,Tanmy,Tanmy,US Navy,Installed,,1969,,"20,000",2,
,,,,Tanzania SPM replacement,,Installed,,2012,,,,
,,,Tarragona Field,Tarragona Field,,Installed,Catenary Anchor Leg Mooring,1973,41,"325,000",3,
,,,Toyama,Toyama,,Installed,Catenary Anchor Leg Mooring,1969,,"150,000",2,
,,,,Tramandai Terminal,Petrobras,Installed,Catenary Anchor Leg Mooring,1968,22,"105,000",2,
,,,,Tramandai Terminal,Petrobras,Installed,Catenary Anchor Leg Mooring,1970,22,"200,000",1,
,,,,Trengganu Crude Oil Terminal,ExxonMobil,Installed,Single Anchor Leg Mooring,1982,28,"250,000",1,Unit placed in storage.
,,,,Trengganu Crude Oil Terminal,ExxonMobil,Installed,Single Anchor Leg Mooring,1982,26,"250,000",1,Unit placed in storage.
,,,,Trengganu Crude Oil Terminal,Petronas Carigali,Installed,Catenary Anchor Leg Mooring,1983,23,"85,000",2,
,,,,Tuban Terminal,Pertamina,Installed,Catenary Anchor Leg Mooring,1998,25,"90,000",0,IMODCO won turnkey contract from Pertamina/Santa Fe Tuban Joint Operating Body for redeployment of FSO CILACAP w/refurbished CALM to receive oil from onshore Mudi field. Oil export is by tandem transfer.
,,,Tuxpan I Field,Tuxpan I Field,Pemex,Installed,Catenary Anchor Leg Mooring,1973,18,"60,000",2,
,,,Tuxpan II Field,Tuxpan II Field,Pemex,Installed,Catenary Anchor Leg Mooring,1974,20,"60,000",4,
,,,U2 Field,U2 Field,PEDCO,Installed,Catenary Anchor Leg Mooring,1985,33,"250,000",3,
,,,,UAE CALM,,Installed,Catenary Anchor Leg Mooring,1995,20,"450,000",0,
,,,Umm Said Field,Umm Said Field,Qatar Petroleum,Installed,Catenary Anchor Leg Mooring,1972,20,"300,000",2,
,,,Umm Said Field,Umm Said Field,Qatar Petroleum,Installed,Catenary Anchor Leg Mooring,1983,20,"350,000",2,Stock unit.
,,,Undisclosed,Undisclosed UK,UK GOVERNMENT,Installed,Single Anchor Leg Mooring,1984,38,"550,000",2,
,,,Undisclosed,Undisclosed UK,UK GOVERNMENT,Installed,Single Anchor Leg Mooring,1984,38,"550,000",2,
,,,Undisclosed,Undisclosed UK,Brown & Root,Installed,Catenary Anchor Leg Mooring,1984,,"350,000",3,Unit placed in storage.
,,,Undisclosed,Undisclosed UK,UK GOVERNMENT,Installed,Catenary Anchor Leg Mooring,1984,16,"45,000",5,
,,,Undisclosed,Undisclosed UK II,UK GOVERNMENT,Installed,Catenary Anchor Leg Mooring,1990,16,"45,000",5,
,,,Undisclosed,Undisclosed US Gulf,Brown & Root,Installed,Catenary Anchor Leg Mooring,1984,,"350,000",3,Unit placed in storage.
,,,Undisclosed,Undisclosed US Gulf,Brown & Root,Installed,Catenary Anchor Leg Mooring,1984,,"350,000",3,Unit placed in storage.
,,,Undisclosed,Undisclosed US Gulf,Brown & Root,Installed,Catenary Anchor Leg Mooring,1984,,"350,000",3,Unit placed in storage.
,,,,Vopak ENOC Terminal Extension,Vopak ENOC Fujairah,Installed,Catenary Anchor Leg Mooring,2002,26,"175,000",2,Deliver scheduled for September with installation and start-up by end-2002.
,,,Wadi Feiran LPG,Wadi Feiran LPG,ENPPI,Installed,Catenary Anchor Leg Mooring,1988,,"3,000",0,
,,,,Zirku Island 1979,ZADCO,Removed,Catenary Anchor Leg Mooring,1979,50,"350,000",,
,,,,Zirku Island 1979,ZADCO,Removed,Catenary Anchor Leg Mooring,1979,50,"350,000",,04/09: removed for replacement of new buoy
,,,Safaniya/Zuluf/Berri,Zuluf 1970,Saudi Aramco,Installed,Catenary Anchor Leg Mooring,1970,39,"450,000",2,
,,,Safaniya/Zuluf/Berri,Zuluf 1970,Saudi Aramco,Installed,Catenary Anchor Leg Mooring,1970,34,"250,000",3,
Australia/New Zealand,Australia,WA-2-R,Gorgon/Jansz/Io,Barrow Island LNG,Chevron,Installed,,2014,,,,
Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),Basker-Manta-Gummy (BMG) Phase I,"Roc Oil, Cooper Energy, Anzon",Installed,Catenary Anchor Leg Mooring,2005,42,,0,
Australia/New Zealand,Australia,,Bayu-Undan,Bayu-Undan Phase I,Phillips,Installed,Submerged Turret,2002,80,"200,000",4,Moor/offload condensate from BAYU UNDAN FSO.
Australia/New Zealand,Australia,WA-279-P,Blacktip,Blacktip,Eni,Construction,,2009,52,,,10/08 - Installation to be complete in Jan 09 according to ENI
Australia/New Zealand,Australia,,Botany Bay,Botany Bay,Caltex,Installed,Catenary Anchor Leg Mooring,1970,19,"120,000",3,
Australia/New Zealand,Australia,AC/L3,Challis-Cassini,Challis-Cassini,PTTEP,Installed,Single Anchor Leg Mooring,1990,106,"115,000",4,"Permanent mooring with FPSO ""Challis Venture""."
Australia/New Zealand,Australia,WA-18-L,Corallina Laminaria,Corallina Laminaria,Woodside,Installed,,1999,118,,0,"Joint dev with corallina using FPSO.Ph2:2 new wells tied to FPSO north endeav, started prod (06/02)"
Australia/New Zealand,Australia,ZOCA 91-12,Elang-Kakatua,Elang-Kakatua,BHP Billiton,Installed,Disconnectable Riser Turret,1998,80,"130,000",3,Bow turret. Moor FPSO MODEC VENTURE I.
Australia/New Zealand,Australia,,Harriet,Harriet,Bond Corporation,Installed,Catenary Anchor Leg Mooring,1986,20,"140,000",0,
Australia/New Zealand,Australia,AC/L1,Jabiru,Jabiru,PTTEP,Installed,Disconnectable Riser Turret,1985,121,"150,000",2,"Disconnectable RTM to FPSO ""Jabiru Venture""."
Australia/New Zealand,Australia,WA-20-L,Legendre,"Legendre, Legendre Decommissioning",Woodside,Removed,Catenary Anchor Leg Mooring,2001,55,"120,000",0,Offload oil from Legendre MOPU either to dedicated FSO or directly into trading tankers.
Australia/New Zealand,Australia,AC/L7,Montara Dev Proj (MDP),Montara Dev Proj (MDP),PTTEP,Installed,,2011,80,,,9 associated mooring legs.
Australia/New Zealand,Australia,,Montara Dev Proj (MDP),Skua,BHP Billiton,Removed,,1992,80,"140,000",3,"Underwater hoses connected to FPSO ""Skua Venture""."
Australia/New Zealand,Australia,WA-209-P,Stag,Stag,Apache,Installed,Catenary Anchor Leg Mooring,1997,48,"150,000",2,
Australia/New Zealand,Australia,WA-255-P,Stybarrow/Eskdale,Stybarrow/Eskdale,BHP Billiton,Installed,,2007,251,,0,Schedule: drilling late 2005. Inst late 2007. 11/06: technip/subsea7 jv awarded subsea cont.
Australia/New Zealand,Australia,,Talisman,Talisman,Marathon,Removed,Catenary Anchor Leg Mooring,1989,80,"70,000",0,Permanent mooring with an FPSO vessel.
Australia/New Zealand,Australia,,,Tassie Shoal LNG (TSLNG),MEO Australia,Planned,Catenary Anchor Leg Mooring,2018,14,,,
Australia/New Zealand,Australia,NT/P48,,Tassie Shoal Methanol (TSMP),MEO Australia,Planned,Catenary Anchor Leg Mooring,2016,14,,,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),Wanaea/Cossack,Woodside,Installed,Disconnectable Riser Turret,1993,77,"152,000",8,"Disconnectable RTM to FPSO ""Cossack Pioneer""."
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),Wanaea/Cossack,Woodside,Installed,Disconnectable Riser Turret,1995,77,"152,000",9,"Hose size ranges from 4"" to 10""."
Australia/New Zealand,Australia,,Wandoo,Wandoo,Ampolex,Installed,Catenary Anchor Leg Mooring,1996,49,,0,0.75 miles north of Wandoo GBS structure location. Mixed crude from Wandoo GBS and Wandoo A monopod will be offloaded for export.
Australia/New Zealand,Australia,VIC/P57,West Seahorse,West Seahorse,Hibiscus Petroleum,Tendering,Catenary Anchor Leg Mooring,2015,40,,1,
Australia/New Zealand,New Zealand,PMP 38160,Maari/Manaia growth projects,Maari,OMV,Installed,Catenary Anchor Leg Mooring,2008,30,,0,Economic at us$10-15/bbl-shell. 06/05: whp/FPSO combi selected.11/05: m2a + manaia fields poss. Tie-in at a later date.
Baltic,Lithuania,,,Mazeikiai State Oil Refinery Terminal,,Installed,Catenary Anchor Leg Mooring,1998,,,2,SOFEC awarded contract from Fluor Daniel for delivery to the Butinge Nafta Joint Stock Company for installation as part of oil refinery terminal.
Baltic,Poland,,B-3,B-3,Petrobaltic,Installed,Catenary Anchor Leg Mooring,1996,80,"50,000",1,
"Canada, East",Canada,,Cohasset - Panuke,Cohasset - Panuke,LASMO,Removed,Catenary Anchor Leg Mooring,1991,39,"127,000",1,Permanent tanker mooring connected to an FSO vessel.
"Canada, East",Canada,,Cohasset - Panuke,Cohasset - Panuke,PanCanadian,Removed,Catenary Anchor Leg Mooring,1997,39,"127,000",1,"Permanent mooring for an FSO, tandem berthing"
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,Planned,,2016,122,,,"The subsea offloading system design will allow a DP tanker to rotate about the base in either direction, without limit, in seastates up to 5.5 m"
"Canada, East",Canada,,Hebron,Hebron,ExxonMobil,Planned,,2016,122,,,"The subsea offloading system design will allow a DP tanker to rotate about the base in either direction, without limit, in seastates up to 5.5 m"
"Canada, East",Canada,PL 1001,Hibernia,Hibernia,ExxonMobil,Installed,Submerged Turret,1997,80,"127,000",,"Second, completely redundant system installed as back-up if the first system ever fails or requires repairs"
"Canada, East",Canada,PL 1001,Hibernia,Hibernia,ExxonMobil,Installed,Submerged Turret,1997,80,"127,000",,Subsea loading. Two units will be built;
"Canada, East",Canada,PL 1001,Hibernia,Hibernia OLS replacement,ExxonMobil,Installed,,2011,80,,,
"Canada, East",Canada,PL 1001,Hibernia,Hibernia OLS replacement,ExxonMobil,Installed,,2011,80,,,
"Canada, East",Canada,,Terra Nova,Terra Nova,Suncor,Installed,Disconnectable Riser Turret,2000,95,,0,"Largest disconnectable system built to date.  Turret: 4,000t, 229' in height. Spider buoy: 65' dia, 1,300t; connected to 9 anchor chains and up to 19 risers."
"Canada, East",Canada,PL 1006,White Rose,White Rose,Husky Oil,Installed,Disconnectable Riser Turret,2004,122,,2,First production scheduled for 2005.
Caspian Sea,Russia,,Yuri Korchagin,Yuri Korchagin,Lukoil,Installed,Single Anchor Leg Mooring,2009,20,,0,
Caspian Sea,Turkmenistan,Block 1,Diyarbekir (Barinov),Block 1 Oil Development,Petronas Carigali,Installed,Catenary Anchor Leg Mooring,2006,17,,0,"03/06:ewt system began march 2006.Purpose built prod.Barge with process capability.Includes barinov, gubkin+east livanov.3y lease"
Central America,Nicaragua,,,Nicaragua Atlantic Terminal,,Tendering,,2016,30,,,
Central America,Nicaragua,,,Nicaragua Atlantic Terminal,,Tendering,,2016,30,,,
Central America,Nicaragua,,,Nicaragua Atlantic Terminal,Phenix Group,Tendering,,2016,30,,,
Central America,Nicaragua,,,Nicaragua Atlantic Terminal,Phenix Group,Tendering,,2016,30,,,
Central America,Nicaragua,,,Nicaragua Pacific Terminal,,Tendering,,2016,30,,,
Central America,Nicaragua,,,Nicaragua Pacific Terminal,,Tendering,,2016,30,,,
Central America,Nicaragua,,,Nicaragua Pacific Terminal,Phenix Group,Tendering,,2016,30,,,
Central America,Nicaragua,,,Nicaragua Pacific Terminal,Phenix Group,Tendering,,2016,30,,,
Central America,Trinidad and Tobago,2c,Greater Angostura,Angostura Phase I,BHP Billiton,Installed,Catenary Anchor Leg Mooring,2004,26,"250,000",0,Delivery is expected by April 2004.
Central America,Trinidad and Tobago,,Galeota,Galeota,BP,Installed,Catenary Anchor Leg Mooring,1971,29,"250,000",2,
Central America,Trinidad and Tobago,,Galeota,Galeota,BP,Installed,Catenary Anchor Leg Mooring,1976,29,"250,000",2,
Far East,China,Bonan,Bozhong (BZ) 25-1/BZ 25-1S,Bozhong (BZ) 25-1/25-1S FPSO HYSY 113 Re-mobilisation,CNOOC,Installed,Single Anchor Leg Mooring,2012,19,,,
Far East,China,Bonan,Bozhong (BZ) 25-1/BZ 25-1S,"Bozhong (BZ) 25-1/BZ 25-1S Phase I, Bozhong (BZ) 25-1/BZ 25-1S Phase II, Bozhong (BZ) 25-1/25-1S FPSO HYSY 113 Re-mobilisation",CNOOC,Installed,Single Anchor Leg Mooring,2004,18,,4,02/11: Removed after SPM was damaged by typhoon.
Far East,China,04/36,Caofeidian (CFD),Caofeidian (CFD) 11-1/11-2,Kerr-McGee,Installed,Single Anchor Leg Mooring,2004,24,,3,"Field achieved first production on July 18, 2004."
Far East,China,Liuhua 07,Enping Cluster,Enping (EP) 24-2,CNOOC,Installed,,2014,96,,,
Far East,China,16/08,Huizhou (HZ) 21-1,Huizhou (HZ) 21-1,CACT,Installed,Conventional Buoy Mooring,1989,116,"250,000",4,"Disconnectable BTM to FPSO ""Nanhai Faxian""."
Far East,China,29/04,Liuhua (LH) 11-1,Liuhua (LH) 11-1,CNOOC,Installed,Catenary Anchor Leg Mooring,1995,93,,0,Mps-nanhai tiao zhan(Ex west stadrill)Produces to FPSO nanhai shengli(Ex mega eagle)Offload to shtanker.Bp sold to cnooc 2003.
Far East,China,Lufeng08,Lufeng (LF) 22-1,Lufeng (LF) 22-1,Statoil,Installed,Submerged Turret,1997,335,"103,000",4,Moor newbuild FPSO.
Far East,China,16/05,Lufeng (LF) 7-1/7-2,Lufeng (LF) 7-1/7-2,Newfield Exploration,Construction,Single Anchor Leg Mooring,2014,107,,,
Far East,China,,,Maoming,Maoming King Pet.,Installed,Catenary Anchor Leg Mooring,1998,35,"250,000",3,Supplied from stock.
Far East,China,,,Maoming Mooring Buoy,Maoming King Pet.,Installed,Catenary Anchor Leg Mooring,2004,35,"250,000",4,CALM system designed to offload 2 MMbbls per offload within 45 hour offload time. Located 4 miles from existing CALM.
Far East,China,15/34,Panyu (PY) 4-2/5-1,Panyu (PY) 4-2/5-1,CNOOC,Installed,Submerged Turret,2003,94,"160,000",4,"System completion by Spring 2003. Field on stream by September 1, 2003."
Far East,China,05/36,Qinhuangdao (QHD) 32-6,Qinhuangdao (QHD) 32-6 Phase I,Bohai Oil,Installed,Catenary Anchor Leg Mooring,2001,20,"150,000",0,Moor Qinhuangdao FPSO. SBM reportedly lost contract to SOFEC.
Far East,China,,Nan Jing,Terminal,CNOOC,Installed,Catenary Anchor Leg Mooring,1996,3,,0,Spm shore terminal and pumping station for hydrocarbon productionfor the offshore infrastructure in the area
Far East,China,Yulin 35,Weizhou (WZ) 11-4N,Weizhou (WZ) 11-4,Nanhai West,Installed,Catenary Anchor Leg Mooring,1993,13,,0,Platform tied to nanhai xi wang FPSO on weizhou 10-3- offtake via shuttle tankers. $40mn for accom/prodn platform.
Far East,China,Yulin 35,Weizhou (WZ) 11-4N,Weizhou (WZ) 11-4,Nanhai West,Installed,Catenary Anchor Leg Mooring,1998,40,"60,000",2,
Far East,China,Yangjiang31,Wenchang (WC) 13-1/13-2,Wenchang (WC) 13-1/13-2,CNOOC,Installed,Submerged Turret,2002,120,"160,000",2,Moor planned FPSO.
Far East,China,15/12,Enping Cluster,Xijiang (XJ) 24-3,Phillips,Installed,Conventional Buoy Mooring,1993,100,"150,000",2,Underwater hoses connected to an FPSO vessel.
Far East,Russia,,Sakhalin I,Sakhalin I Ph 1 (Chayvo),ExxonMobil,Installed,Catenary Anchor Leg Mooring,2005,50,,0,Monopod type of structure have topsides weighing 900 tons and substructure of 1100 tons. Installation is scheduled to commence in summer 2005. Tender outstanding for installation contractor.
Far East,Russia,,Sakhalin II,Sakhalin II Phase 1,Sakhalin Energy,Installed,Single Anchor Leg Mooring,1998,55,,0,Sakhalin II project.
Far East,South Korea,,,CALM Buoy near Ulsan,PEDCO,Installed,Catenary Anchor Leg Mooring,1995,27,"325,000",2,
Far East,South Korea,,,CALM Buoy near Ulsan,,Installed,Catenary Anchor Leg Mooring,1995,27,"385,000",3,Supplied from stock
Far East,South Korea,,Yukong Terminal,Offshore Ulsan -Yukong Terminal,Yukong,Installed,Catenary Anchor Leg Mooring,1996,27,"300,000",2,
Far East,South Korea,,Sunkyong,Sunkyong,Korea Petroleum,Installed,Catenary Anchor Leg Mooring,1996,,,0,
Far East,South Korea,,,Ulsan,,Installed,Catenary Anchor Leg Mooring,1963,20,"75,000",4,
Far East,South Korea,,,Ulsan New SPM Construction Project 2013,,Installed,Conventional Buoy Mooring,2013,,,,
Far East,South Korea,,,Ulsan Port Buoy Replacement Project,,Planned,,2015,27,,,
Far East,South Korea,,,Ulsan Port Buoy Replacement Project,,Planned,,2015,27,,,
Far East,Taiwan,,Ta Lin Pu,Off Ta-Lin-Pu,,Installed,Catenary Anchor Leg Mooring,1971,30,"250,000",2,
Far East,Taiwan,,Ta Lin Pu,Off Ta-Lin-Pu,,Installed,Catenary Anchor Leg Mooring,1983,40,"250,000",3,
Far East,Taiwan,,Ta Lin Pu,Off Ta-Lin-Pu,,Installed,Catenary Anchor Leg Mooring,1992,26,"300,000",3,
Far East,Taiwan,,Ta Lin Pu,Off Ta-Lin-Pu,,Installed,Catenary Anchor Leg Mooring,1992,26,"100,000",2,
Far East,Taiwan,,Shalung,Shalung,CPC (A),Installed,Catenary Anchor Leg Mooring,1995,6,,0,Replacement 5.2 km 42 inch export line and spm at terminal
Far East,Taiwan,,Taichung/Tung Hsiao/Tan Tan,Taichung CPC Pipeline,CPC (A),Installed,Catenary Anchor Leg Mooring,1967,23,"50,000",1,
Far East,Taiwan,,Taichung/Tung Hsiao/Tan Tan,Taichung CPC Pipeline,CPC (A),Installed,Catenary Anchor Leg Mooring,1968,23,"50,000",1,
Indian Ocean,Bangladesh,,,Bangladesh FSRU,,Construction,Catenary Anchor Leg Mooring,2016,5,,,
Indian Ocean,India,,,Bina refinery,Reliance,Installed,Single Anchor Leg Mooring,2009,38,"350,000",,
Indian Ocean,India,Bombay High,Bombay High,Bombay High Field,ONGC,Installed,Catenary Anchor Leg Mooring,1975,73,"100,000",2,Permanent tanker mooring.
Indian Ocean,India,Bombay High,Bombay High,Bombay High Field,ONGC,Installed,Catenary Anchor Leg Mooring,1975,73,"100,000",1,
Indian Ocean,India,Bombay High,Bombay High,Bombay High Field,ONGC,Installed,Catenary Anchor Leg Mooring,1983,73,"115,000",1,Permanent mooring with an FSO vessel.
Indian Ocean,India,,,CPCL refinery capacity expansion,,Installed,Single Anchor Leg Mooring,2011,28,"300,000",,
Indian Ocean,India,D-18,D-18,D-18,ONGC,Installed,Catenary Anchor Leg Mooring,1987,91,"115,000",1,
Indian Ocean,India,,Dabhol,Dabhol,Enron,Installed,Catenary Anchor Leg Mooring,1998,19,"60,000",3,Import naphtha for major power plant.
Indian Ocean,India,Hazira,Hazira,Hazira,ONGC,Removed,Catenary Anchor Leg Mooring,1992,30,"50,000",0,accident to the single buoy mooring system (SBM) at the Hazira Petrochemicals Complex
Indian Ocean,India,Hazira,Hazira,Hazira,Reliance,Installed,Catenary Anchor Leg Mooring,1995,30,"50,000",2,White products
Indian Ocean,India,Hazira,Hazira,Hazira,Reliance,Installed,Catenary Anchor Leg Mooring,2000,32,"350,000",2,Single Buoy Moorings acquiring Imodco.
Indian Ocean,India,Heera,Heera,Heera Redevelopment Phase I,ONGC,Installed,,2010,80,,,08/09: to be used for offloading; the existing buoy will be replaced with a new one
Indian Ocean,India,,,HPCL Visag (Vizag) Capacity Expansion,,Installed,Single Anchor Leg Mooring,2010,,,,
Indian Ocean,India,,,Jamnagar Terminal Expansion,Reliance,Installed,Catenary Anchor Leg Mooring,2007,,,0,08/06: valentine maritime & leighton asia awarded usd 246 millionepc for jamnagar export refinery project.
Indian Ocean,India,,,Jamnagar Terminal Expansion,Reliance,Installed,Catenary Anchor Leg Mooring,2007,,,0,08/06: valentine maritime & leighton asia awarded usd 246 millionepc for jamnagar export refinery project.
Indian Ocean,India,,,Jamnagar Terminal Expansion,Reliance,Installed,Catenary Anchor Leg Mooring,2008,,,0,08/06: valentine maritime & leighton asia awarded usd 246 millionepc for jamnagar export refinery project.
Indian Ocean,India,,,"MDP SPM recovery, Mangala Development Pipeline (MDP)",,Installed,Catenary Anchor Leg Mooring,2011,30,,,
Indian Ocean,India,Mumbai High,Mumbai High South,Mumbai High South Redevelopment Phase II,ONGC,Installed,Catenary Anchor Leg Mooring,2009,26,,0,02/04:to be installed in 2 phases.Ph i completed 04/05.Ph ii to becompleted by 02/06.Plats exp to be bridge-linked to existing plats.
Indian Ocean,India,,Mundra Port,Mundra Port,,Installed,Catenary Anchor Leg Mooring,2004,,"320,000",2,
Indian Ocean,India,,,Mundra-Buthinda Pipeline,HMEL,Installed,,2010,40,,,05/09:installation either in 2009 or 2010
Indian Ocean,India,Neelam,Neelam,Neelam,ONGC,Installed,Catenary Anchor Leg Mooring,1993,57,"232,000",0,
Indian Ocean,India,Panna,Panna,Panna,ONGC,Installed,Catenary Anchor Leg Mooring,1985,45,"115,000",1,
Indian Ocean,India,Panna,Panna,Panna,ONGC,Installed,Catenary Anchor Leg Mooring,1985,44,"115,000",0,
Indian Ocean,India,Panna,Panna,Panna Phase II (IPOD),BG,Installed,Catenary Anchor Leg Mooring,1996,24,,0,"5 plt complex- 3 whd sat plts - exp by pipes to panna. Initial rate13000 b/d, due to reach peak jan 99. Hyundai bid $302 mn to develop"
Indian Ocean,India,Panna,Panna,Panna SPM replacement,BG,Installed,Catenary Anchor Leg Mooring,2014,24,,,
Indian Ocean,India,,,Paradip FSRU,GAIL India,Planned,,2017,10,,,
Indian Ocean,India,,,Paradip Integrated Crude Oil Handling Facilities,Indian Oil Corporation,Installed,Single Anchor Leg Mooring,2011,32,,,
Indian Ocean,India,,,Paradip Integrated Crude Oil Handling Facilities,Indian Oil Corporation,Installed,Single Anchor Leg Mooring,2011,32,,,
Indian Ocean,India,,,Paradip-Haldia Crude Oil Pipeline (PHCPL),Indian Oil Corporation,Installed,,2008,30,,,
Indian Ocean,India,CY-OS-90/1 (PY-3),PY-3,PY-3,Vaalco,Installed,Single Anchor Leg Mooring,1997,75,"70,459",1,"Nortrans contract includes tow from Singapore, controlled ballasting and hook-up and testing of hoses and mooring assemblies. SALM is Nortrans' NORMOR proprietary design: disconnectable submerged buoy + tendon + gravity base."
Indian Ocean,India,,Ratnagiri,Ratnagiri,ONGC,Installed,Catenary Anchor Leg Mooring,1983,41,"115,000",2,Permanent mooring with an FSO vessel.
Indian Ocean,India,Ravva,Ravva,Ravva,Command,Removed,Catenary Anchor Leg Mooring,1996,25,"120,000",1,Removed & replaced 11/98 due t}o mechanical failure.
Indian Ocean,India,Ravva,Ravva,Ravva,Cairn Energy,Installed,Catenary Anchor Leg Mooring,1998,22,"120,000",2,Offload for shuttle tankers. Bidding install. Replacement buoy for one that had mechanical failure; prod shut-in for 60d losing 1.1 MMbbls oil (commence 9/1/98).
Indian Ocean,India,Ravva,Ravva,Ravva,Cairn Energy,Installed,Catenary Anchor Leg Mooring,2004,22,"120,000",2,
Indian Ocean,India,,Vadinar,Vadinar Field,,Removed,Catenary Anchor Leg Mooring,1977,35,"300,000",2,
Indian Ocean,India,,Vadinar,Vadinar Field,,Installed,Catenary Anchor Leg Mooring,1984,31,"300,000",2,Replacement unit.
Indian Ocean,India,,Vadinar,Vadinar Field,,Installed,Catenary Anchor Leg Mooring,1999,24,"325,000",0,
Indian Ocean,Myanmar,M-13,Yetagun,Yetagun,Petronas Carigali,Installed,,1999,32,,0,Gas exp line to shore.Cond-offshore loaded.Sold t0 petronas+p-0997(Sanctions).B&r prelim eng:2 plats. 11/03: mods =400mil scf/d
Indian Ocean,Sri Lanka,,,Ceylon SPM & pipeline,,Installed,Single Anchor Leg Mooring,2010,25,,,
Indian Ocean,Tanzania,,Dar-Es-Salaam,Dar-Es-Salaam 2011 (Oil Import),GOVERNMENT,Installed,Catenary Anchor Leg Mooring,2011,,,,
Mediterranean/Black Sea,Albania,,Patos Marinza,Offshore Albanian coast,,Installed,Catenary Anchor Leg Mooring,2000,30,,0,Paragon = prelim engrg.
Mediterranean/Black Sea,Cyprus,,Akrotiri Terminal,Offshore Cyprus,MINISTRY OF DEFENCE,Installed,Catenary Anchor Leg Mooring,1995,15,,0,"Spm and pipeline installation at raf akratiri base.Bids closed november 22, 1994"
Mediterranean/Black Sea,Cyprus,,Vasilikos,Vasilikos,,Installed,Catenary Anchor Leg Mooring,1998,30,"80,000",2,Fuel import of Cyprus.
Mediterranean/Black Sea,Egypt,,,Sidi Kerir 1974,,Installed,Catenary Anchor Leg Mooring,1974,25,"150,000",3,Transit pipeline terminal.
Mediterranean/Black Sea,Egypt,,,Sidi Kerir 1974,,Installed,Catenary Anchor Leg Mooring,1974,26,"150,000",3,Transit pipeline terminal.
Mediterranean/Black Sea,Egypt,,,Sidi Kerir 1974,,Installed,Catenary Anchor Leg Mooring,1974,25,"150,000",3,Transit pipeline terminal.
Mediterranean/Black Sea,Egypt,,,Sidi Kerir 1982,,Installed,Catenary Anchor Leg Mooring,1982,33,"350,000",,
Mediterranean/Black Sea,Egypt,,,Sidi Kerir 1982,,Installed,Catenary Anchor Leg Mooring,1982,33,"350,000",3,Stock unit.
Mediterranean/Black Sea,Egypt,,,Sidi Kerir 1991,,Installed,Catenary Anchor Leg Mooring,1991,35,"400,000",3,Transit pipeline terminal.
Mediterranean/Black Sea,Georgia,,Chirak,Black Sea - Chirak Field,,Installed,Catenary Anchor Leg Mooring,1998,50,"150,000",6,Offload oil from Guneshli field in Caspian Sea & transported thru western route pipeline from Baku to Supsa. Contract to Bluewater awarded by Kvaerner John Brown on behalf of GPC.
Mediterranean/Black Sea,Israel,,,Israel LNG buoy off Hadera,,Installed,Submerged Turret,2012,75,,,
