FieldsBase Subsea Installation Search - Data Download,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:17 for Dirk Rook,,,,,,,,,,,,
,,,,,,,,,,,,
Filters:,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Tree supplier,Total wells,Water depth (m),Remark
Northwest Europe,Norway,25/2a,East Frigg,East Frigg,Total,Installed,Template,1988,VetcoGray,5,115,
Northwest Europe,Norway,25/2,East Frigg Delta/Gamma,East Frigg Delta/Gamma,"Centrica, Pertra",Possible,Cluster,2020,,4,120,
Northwest Europe,Norway,25/5a,Tir/East Heimdal,East Heimdal,Total,Cancelled,,2015,,2,120,Possible subsea development tied back to Heimdal.Number of wells is ODSP assumption
Northwest Europe,Norway,2/4a,Ekofisk,Ekofisk,ConocoPhillips,Installed,Satellite,1971,,4,70,
Northwest Europe,Norway,2/4,Ekofisk,Ekofisk South,ConocoPhillips,Construction,,2014,FMC,8,70,"11/12: It consists of a subsea template with eight water injection wells. It is connected to an existing pipeline between Ekofisk 2/4 K and Eldfisk 2/4 E with a new 5-km long pipeline. The facility will be remote-controlled from the 2/4 K facility.

The subsea facility is located approx. 3 km south of the Ekofisk Field Centre.

The plan is to start using the facility at the end of the fourth quarter of 2012, or early in 2013."
Northwest Europe,Norway,34/10,Epidot/Alun,Epidot/Alun,Statoil,Possible,,2016,,1,150,
Northwest Europe,Norway,34/10,Epidot/Alun,Epidot/Alun,Statoil,Possible,,2016,,1,150,
Northwest Europe,Norway,6608/11,Falk,Falk,Statoil,Possible,Satellite,2016,,2,351,Discovery in November 2000.Could be linked with Svale.
Northwest Europe,Norway,6407/2,Flyndretind,Flyndretind,Statoil,Possible,,2016,,1,253,
Northwest Europe,Norway,6506/9,Fogelberg,Fogelberg,Centrica,Planned,,2020,,2,280,
Northwest Europe,Norway,,Fram,Fram,Statoil,Installed,Cluster,2003,FMC,5,360,
Northwest Europe,Norway,35/11,Fram,Fram,Statoil,Installed,Template,2008,Kongsberg (Maritime),9,320,First oil from Fram East is expected in October 2006.
Northwest Europe,Norway,35/11,C East,Fram C-East,Statoil,Possible,,2016,,4,360,
Northwest Europe,Norway,35/11,Fram-H North,Fram H-North,Statoil,Installed,,2014,FMC,1,363,
Northwest Europe,Norway,30/11b,Fulla,Fulla,"Centrica, Statoil",Planned,,2020,,1,111,
Northwest Europe,Norway,6407/9,Draugen,Garn West 2001,Shell,Installed,Satellite,2001,,2,250,
Northwest Europe,Norway,6/3,Gaupe,Gaupe,BG,Installed,Satellite,2011,FMC,1,115,"Frame agreement with FMC to supply SS systems. 
To UK's Armada platform"
Northwest Europe,Norway,,Gaupe,Gaupe,BG,Installed,Satellite,2011,FMC,1,115,"Frame agreement with FMC to supply SS systems. 
To UK's Armada platform"
Northwest Europe,Norway,15/5,Gina Krog/Eirin,Gina Krog/Eirin,Statoil,Construction,,2016,,4,"1,118","This will be a standard subsea template with four well slots. Three firm wells, one possible well."
Northwest Europe,Norway,35/9,Gjoea,Gjoea,GDF Suez,Installed,,2009,FMC,1,380,
Northwest Europe,Norway,35/9,Gjoea,Gjoea,GDF Suez,Installed,,2010,FMC,4,380,
Northwest Europe,Norway,35/9,Gjoea,Gjoea,GDF Suez,Installed,,2011,FMC,2,380,
Northwest Europe,Norway,35/9,Gjoea,Gjoea,GDF Suez,Installed,Template,2011,FMC,3,380,2006: FMC to supply 13 trees + 1 spare
Northwest Europe,Norway,35/9,Gjoea,Gjoea,GDF Suez,Installed,,2012,FMC,4,,
Northwest Europe,Norway,15/5,Glitne,"Glitne, Glitne Decommissioning",Statoil,Out of Service,Satellite,2007,,2,110,First production expected in July 2001.
Northwest Europe,Norway,,Glitne,"Glitne, Glitne Decommissioning",Statoil,Out of Service,Satellite,2012,,6,110,
Northwest Europe,Norway,7122/7,Goliat,Goliat,Eni,Construction,Template,2015,Aker Solutions,22,383,"10/14: 24 trees delivered to Eni. Installation of first trees in September 2014.
2010: 22 wells planned"
Northwest Europe,Norway,25/11,Grane,Grane,Statoil,Installed,Template,2001,,,128,
Northwest Europe,Norway,15/12a,Grevling 15/12-21,Grevling,Talisman,Possible,,2017,,1,86,
Northwest Europe,Norway,34/10,Gullfaks,Gullfaks A,Statoil,Installed,Satellite,1988,Cooper Cameron,6,139,
Northwest Europe,Norway,,Gullfaks Satellites,Gullfaks Replacement Trees,Statoil,Installed,,2011,FMC,8,150,
Northwest Europe,Norway,,Gullfaks Satellites,Gullfaks Replacement Trees,Statoil,Construction,,2015,,7,145,
Northwest Europe,Norway,34/10,Gullfaks Satellites,Gullfaks Satellites Phase 1 - Oil,Statoil,Installed,Template,1997,FMC,1,135,
Northwest Europe,Norway,34/10,Gullfaks Satellites,Gullfaks Satellites Phase 1 - Oil,Statoil,Installed,Template,1998,FMC,1,135,
Northwest Europe,Norway,34/10,Gullfaks Satellites,Gullfaks Satellites Phase 1 - Oil,Statoil,Installed,Satellite,1998,FMC,3,135,
Northwest Europe,Norway,,Gullfaks Satellites,Gullfaks Satellites Phase 1 - Oil,Statoil,Installed,Template,1998,FMC,3,135,10 trees set on Rimfaks: 6 prod + 4 gas inj.
Northwest Europe,Norway,34/10,Gullfaks Satellites,Gullfaks Satellites Phase 1 - Oil,Statoil,Installed,Template,1998,FMC,4,135,
Northwest Europe,Norway,34/10,Gullfaks Satellites,Gullfaks Satellites Phase 1 - Oil,Statoil,Installed,Satellite,1999,FMC,11,135,
Northwest Europe,Norway,34/10,Gullfaks Satellites,Gullfaks Satellites Phase 2 - Gas,Statoil,Installed,Template,2001,FMC,8,135,
Northwest Europe,Norway,,Gullfaks Satellites,Gullfaks South IOR,Statoil,Installed,Template,2014,FMC,6,145,8/12: 2 new subsea templates with 6 extra wells will boost recovery by 65 million boe
Northwest Europe,Norway,6407/9,Hasselmus,Hasselmus,Shell,Possible,,2018,,1,248,
Northwest Europe,Norway,6507/7,Heidrun,Heidrun,ConocoPhillips,Installed,Template,1994,FMC,3,352,
Northwest Europe,Norway,6507/7,Heidrun,Heidrun,ConocoPhillips,Installed,Template,1994,FMC,3,352,
Northwest Europe,Norway,6507/8,Heidrun North,Heidrun North,Statoil,Installed,Template,2000,FMC,11,350,
Northwest Europe,Norway,6407/8,Hyme (ex-Gygrid),Hyme (ex-Gygrid),Statoil,Installed,,2012,FMC,2,247,5/11: single template with 1 producer and 1 injector
Northwest Europe,Norway,,Ivar Aasen (ex Draupne),Ivar Aasen Phase 2,Det norske oljeselskap,Planned,Template,2019,,2,115,"4/11: 2 wells planned, tied 12km to Draupne"
Northwest Europe,Norway,PL027D,Jette (ex-Jetta),Jette (ex-Jetta),Det norske oljeselskap,Installed,,2013,Cameron,2,127,
Northwest Europe,Norway,PL532,Skrugard/Havis,Johan Castberg (Skrugard/Havis),Statoil,Planned,,2020,,15,365,
Northwest Europe,Norway,PL532,Skrugard/Havis,Johan Castberg (Skrugard/Havis),Statoil,Planned,,2020,,23,370,Number of production wells based on feasibility study. Number of injection wells unknown
Northwest Europe,Norway,16/2,Johan Sverdrup (Avaldsnes/Aldous Major South),Johan Sverdrup Phase I (Aldous/Avaldsnes),Statoil,Planned,,2019,,4,120,
Northwest Europe,Norway,16/2,Johan Sverdrup (Avaldsnes/Aldous Major South),Johan Sverdrup Phase I (Aldous/Avaldsnes),Statoil,Planned,,2019,,4,120,
Northwest Europe,Norway,16/2,Johan Sverdrup (Avaldsnes/Aldous Major South),Johan Sverdrup Phase I (Aldous/Avaldsnes),Statoil,Planned,,2019,,4,120,
Northwest Europe,Norway,25/8,Jotun,Jotun,ExxonMobil,Cancelled,Satellite,2008,,1,128,Discovery announced in September 2003. Find near Balder. Probably developed with platform wells from Balder wellhead platform.
Northwest Europe,Norway,34/3,Knarr,Knarr,BG,Installed,,2013,,4,400,"09/14: 2 Prod. wells and 2 injection wells
5/11: 4 firm wells with options to a maximum of 10 in total.
10/09: BG is working on a plan that calls for 3 production wells and 2 water-injection wells on Jordbaer Central. Drilling to start spring 2012. Between 4 and 8 wells could also be drilled on Jordbaer Vest, depending on the economics."
Northwest Europe,Norway,34/3,Knarr,Knarr,BG,Installed,,2013,FMC,5,400,
Northwest Europe,Norway,30/11,Krafla/Askja,Krafla/Askja,Statoil,Planned,,2019,,1,107,
Northwest Europe,Norway,30/11,Krafla/Askja,Krafla/Askja,Statoil,Planned,,2020,,1,110,
Northwest Europe,Norway,30/11,Krafla/Askja,Krafla/Askja,Statoil,Planned,,2020,,1,108,
Northwest Europe,Norway,30/11,Krafla/Askja,Krafla/Askja,Statoil,Planned,,2020,,1,110,
Northwest Europe,Norway,6406/2,Kristin,Kristin,Statoil,Installed,Template,2005,Kvaerner Brug,3,370,
Northwest Europe,Norway,6406/2,Kristin,Kristin,Statoil,Installed,Satellite,2005,,4,355,
Northwest Europe,Norway,6406/2,Kristin,Kristin,Statoil,Installed,Template,2006,Kvaerner Brug,4,364,
Northwest Europe,Norway,6406/2,Kristin,Kristin,Statoil,Installed,,2007,Kvaerner Brug,2,368,
Northwest Europe,Norway,6406/2,Kristin,Kristin Q,Statoil,Cancelled,,2011,Aker Solutions,3,275,Up to three producers
Northwest Europe,Norway,6406/2,Lavrans,Lavrans,Statoil,Planned,Template,2018,Aker Kvaerner,4,280,
Northwest Europe,Norway,25/2,Lille-Frigg,Lille-Frigg,Total,Removed,Cluster,1993,National Oilwell,2,112,
Northwest Europe,Norway,25/2,Lille-Frigg,Lille-Frigg,Total,Removed,Template,1993,National Oilwell,1,112,
Northwest Europe,Norway,6608/11,Linerle,Linerle,Statoil,Possible,,2018,,4,351,Number of wells is ODSP assumption
Northwest Europe,Norway,6406/9,Linnorm (ex-Onyx SW),Linnorm,Shell,Possible,Template,2019,FMC,5,308,"04/12 4 wells
6/11: 48km tie-back to Draugen
10/10: 3-8 wells"
Northwest Europe,Norway,15/9,Sleipner East,Loke,Statoil,Installed,Template,1992,,2,85,
Northwest Europe,Norway,34/4,Lower Lunde,Lower Lunde,Statoil,Possible,,2016,,1,382,
Northwest Europe,Norway,18/10,Bream,Mackerel (Bream Phase 2),Premier,Possible,Cluster,2020,,6,96,
Northwest Europe,Norway,6406/3,Maria,Maria (Norway),Wintershall,Construction,Cluster,2018,FMC,6,303,"6/11: could be tied to Asgard, Kristin, Heidrun"
Northwest Europe,Norway,,Martin Linge (ex-Hild),Martin Linge Phase II (ex-Hild East),Total,Possible,,2020,,10,120,"09/10: 10 subsea wells, according to FMC"
Northwest Europe,Norway,6507/1,Marulk,Marulk,Eni,Installed,Template,2012,FMC,2,380,02/10: 2 production wells
Northwest Europe,Norway,6407/6,Mikkel,Mikkel,Statoil,Installed,Template,2003,FMC,2,305,
Northwest Europe,Norway,6407/6,Mikkel,Mikkel,Statoil,Installed,,2003,FMC,1,305,
Northwest Europe,Norway,6407/6,Mikkel Sor,Mikkel Sor,Statoil,Planned,,2020,,1,247,
Northwest Europe,Norway,6407/6,Mikkel Sor,Mikkel Sor,Statoil,Planned,,2020,,4,226,
Northwest Europe,Norway,7/11b,Mime,Mime,Statoil,Removed,Template,1990,Aker Vetco,1,80,
Northwest Europe,Norway,6506/11,Morvin,Morvin,Statoil,Installed,,2010,Aker Kvaerner,1,365,
Northwest Europe,Norway,6506/11,Morvin,Morvin,Statoil,Installed,Cluster,2010,Aker Kvaerner,3,365,
Northwest Europe,Norway,6507/11,Natalia,Natalia,Statoil,Possible,,2016,,1,299,
Northwest Europe,Norway,6407/7,Njord,Njord,Statoil,Installed,Satellite,2004,,15,330,
Northwest Europe,Norway,6608/10,Norne,Norne,Statoil,Installed,Template,1999,FMC,4,381,
Northwest Europe,Norway,6608/10,Norne,Norne,Statoil,Installed,Template,1999,FMC,4,381,
Northwest Europe,Norway,6608/10,Norne,Norne,Statoil,Installed,Template,2000,FMC,4,381,
Northwest Europe,Norway,6608/10,Norne,Norne,Statoil,Installed,Template,2000,FMC,4,381,
Northwest Europe,Norway,6608/10,Norne,Norne,Statoil,Installed,Template,2001,FMC,4,381,
Northwest Europe,Norway,6608/10,Norne K,Norne K,Shell,Installed,Satellite,2006,FMC,3,376,
Northwest Europe,Norway,6608/10,Norne,Norne M,Statoil,Installed,Template,2011,FMC,2,375,
Northwest Europe,Norway,25/1b,Northeast Frigg,Northeast Frigg,Total,Removed,Template,1983,Cooper Cameron,6,101,
Northwest Europe,Norway,6305/05,Ormen Lange,Ormen Lange Phase I,Shell,Installed,Template,2011,FMC,5,853,
Northwest Europe,Norway,6305/05,Ormen Lange,Ormen Lange Phase I,"Statoil, Shell",Installed,Template,2011,FMC,7,849,"FMC to deliver 2 templates and 8 trees initially, with options for delivery of 16 trees and 2 templates. Water depth ranges from 2625-3609ft. 8-well drlg program scheduled to commence 2nd half 2005. First production expected Oct 2007."
Northwest Europe,Norway,6305/05,Ormen Lange,Ormen Lange Phase II-Southern,Shell,Installed,Template,2012,FMC,6,870,
Northwest Europe,Norway,6305/05,Ormen Lange,Ormen Lange Phase III-North,Shell,Installed,Template,2012,FMC,6,925,
Northwest Europe,Norway,30/9,Oseberg,Oseberg,Statoil,Installed,Satellite,1988,McEvoy,3,110,
Northwest Europe,Norway,30/9,Oseberg,Oseberg Delta,Statoil,Installed,Satellite,2008,FMC,2,110,10/07: Nearing completion.
Northwest Europe,Norway,30/9,Oseberg,Oseberg Delta 2,Statoil,Construction,,2014,FMC,2,110,
Northwest Europe,Norway,30/9,Oseberg,Oseberg Delta 2,Statoil,Construction,,2014,FMC,3,110,
Northwest Europe,Norway,30/6,Oseberg,Oseberg Gamma North 1996,Statoil,Installed,Satellite,1996,Kvaerner Brug,1,100,
Northwest Europe,Norway,30/9,Oseberg,Oseberg K-structure,Statoil,Installed,,2000,,4,,
Northwest Europe,Norway,30/9,Oseberg,Oseberg Sor J-structure,Statoil,Installed,Satellite,2005,FMC,4,152,
Northwest Europe,Norway,30/6,Oseberg,Oseberg Vestflanke (West Flank),Statoil,Installed,Satellite,2007,FMC,3,108,
Northwest Europe,Norway,24/6a,Peik,Peik,Lundin Oil,Cancelled,,2014,,2,130,
Northwest Europe,Norway,35/2,Peon,Peon,Statoil,Planned,,2019,,8,384,
Northwest Europe,Norway,6406/12,Pil/Bue,Pil/Bue,VNG Norge,Possible,,2018,,4,324,
Northwest Europe,Norway,6406/12,Pil/Bue,Pil/Bue,VNG Norge,Possible,,2018,,3,324,
Northwest Europe,Norway,15/12c,Rev,Rev,Talisman,Installed,Satellite,2007,FMC,2,85,Currently tendering for installation work (04/06).Production is set to begin July 2008.
Northwest Europe,Norway,15/12c,Rev,Rev,Talisman,Installed,,2009,,1,85,
Northwest Europe,Norway,34/10,Rimfaks Valley,Rimfaks Valley (Rutil/Opal),Statoil,Construction,,2014,FMC,1,136,
Northwest Europe,Norway,34/10,Rimfaks Valley,Rimfaks Valley (Rutil/Opal),Statoil,Construction,,2014,FMC,2,137,
Northwest Europe,Norway,25/2,Rind (Lille Froey),Rind,Total,Possible,,2020,,1,117,
Northwest Europe,Norway,25/8,Ringhorne,Ringhorne,ExxonMobil,Installed,Cluster,2002,ABB Vetco Gray,5,128,
Northwest Europe,Norway,6407/9,Draugen,Rogn South,Shell,Installed,Satellite,2002,Kongsberg (Maritime),2,270,
Northwest Europe,Norway,6507/11,Sigrid,Sigrid,Statoil,Cancelled,Satellite,2009,,1,291,10/07: Postponed indefinitely
Northwest Europe,Norway,15/3,Sigrun,Sigrun,Statoil,Cancelled,,2013,,2,109,
Northwest Europe,Norway,16/7,Sigyn,Sigyn,ExxonMobil,Installed,Template,2002,FMC,3,91,
Northwest Europe,Norway,35/9,Skarfjell,Skarfjell Development,Wintershall,Possible,Cluster,2019,,6,368,
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv Phase I,BP,Installed,Template,2010,VetcoGray,3,325,3 gas producers
Northwest Europe,Norway,6507/3,Skarv Idun,Skarv Phase I,BP,Installed,Template,2010,VetcoGray,2,392,One 4 slot template
Northwest Europe,Norway,,Skarv Idun,Skarv Phase I,BP,Installed,,2011,VetcoGray,4,327,
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv Phase I,BP,Installed,Template,2012,VetcoGray,3,327,
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv Phase I,BP,Installed,Template,2013,VetcoGray,4,391,
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv Phase II,BP,Planned,Template,2017,,3,417,"Skarv Phase II, one 4 slot template"
Northwest Europe,Norway,33/12,Gullfaks Satellites,Skinfaks & Rimfaks IOR,Statoil,Installed,Satellite,2007,FMC,1,137,
Northwest Europe,Norway,33/12,Gullfaks Satellites,Skinfaks & Rimfaks IOR,Statoil,Installed,Template,2007,FMC,6,150,Dole and Ole prospects
Northwest Europe,Norway,25/5,Skirne,Skirne,Total,Installed,Satellite,2003,FMC,2,118,"Contract awards end summer 2002, installation 2q03. 180 Bcf, 6 MMbbls. Norwegian government gave approval on July 5, 2002. To be developed together with Bygvve field."
Northwest Europe,Norway,6608/10,Skuld (Fossekall-Dompap),Skuld (Fossekall-Dompap),Statoil,Installed,,2012,Aker Solutions,3,352,
Northwest Europe,Norway,6608/10,Skuld (Fossekall-Dompap),Skuld (Fossekall-Dompap),Statoil,Installed,,2013,Aker Solutions,4,334,
Northwest Europe,Norway,6608/10,Skuld (Fossekall-Dompap),Skuld (Fossekall-Dompap),Statoil,Installed,,2013,Aker Solutions,4,352,
Northwest Europe,Norway,15/9,Sleipner East,Sleipner East,Statoil,Installed,Template,1992,,3,84,
Northwest Europe,Norway,6506/12,Smoerbukk North East,Smoerbukk Northeast,Statoil,Installed,,2011,FMC,2,300,
Northwest Europe,Norway,6506/12,Aasgard,Smoerbukk South Q,Statoil,Installed,Template,2007,FMC,6,305,Q Template
Northwest Europe,Norway,,Aasgard,Smorbukk South Extension,Statoil,Construction,,2015,FMC,2,300,
Northwest Europe,Norway,7121/4a,Snoehvit,Snoehvit CO2 well,Statoil,Construction,,2015,GE Oil & Gas,1,312,
Northwest Europe,Norway,7120/9,Snoehvit,Snoehvit Ph I (Snoehvit/Albatross),Statoil,Installed,Template,2006,,3,320,3 wells on Albatross completed in 2006.
Northwest Europe,Norway,7121/4a,Snoehvit,Snoehvit Ph I (Snoehvit/Albatross),Statoil,Installed,Template,2006,,7,337,7 wells on Snoehvit: 6 producers & 1 carbon dioxide injector were drilled in 2004-05.
Northwest Europe,Norway,7121/4a,Snoehvit,Snoehvit Ph II (Askeladd),Statoil,Planned,,2015,,2,337,Original plan called for two more wells to be drilled on Snoehvit in 2011.
Northwest Europe,Norway,7121/4a,Snoehvit,Snoehvit Ph II (Askeladd),Statoil,Planned,,2016,,1,320,Last well in Albatross template
Northwest Europe,Norway,7121/4a,Snoehvit,Snoehvit Ph II (Askeladd),Statoil,Planned,Template,2016,,8,312,2007: 8 wells on Askeladd to be installed in 2014/15
Northwest Europe,Norway,34/7,Snorre,Snorre,Statoil,Installed,Template,1995,Rosenberg,10,335,
Northwest Europe,Norway,34/7,Snorre,Snorre B,Statoil,Installed,Template,2006,ABB Vetco Gray,3,350,
Northwest Europe,Norway,34/7,Snorre,Snorre B,Statoil,Installed,Template,2008,ABB Vetco Gray,8,350,
Northwest Europe,Norway,34/7,Snorre,Snorre B,Statoil,Installed,Template,2008,ABB Vetco Gray,6,350,"4 templates w/manifolds. ABB Offshore Technology = subsea prod system. Operatorship passed from Norsk Hydro to Statoil on December 31, 2002."
Northwest Europe,Norway,34/7,Snorre,Snorre B,Statoil,Installed,Template,2009,ABB Vetco Gray,1,350,
Northwest Europe,Norway,34/7,Snorre,Snorre B Template,Statoil,Possible,,2017,,2,357,
Northwest Europe,Norway,2/5,South East Tor,South East Tor,Lundin Oil,Possible,,2018,,2,67,Appraisal drilling in 2008
Northwest Europe,Norway,33/9a,Statfjord East,Statfjord East,Statoil,Installed,Template,1994,FMC,11,270,
Northwest Europe,Norway,33/9a,Statfjord North,Statfjord North,Statoil,Installed,Template,1999,FMC,16,270,
Northwest Europe,Norway,30/9,Stjerne (ex Katla),Stjerne (ex Katla),Statoil,Installed,Template,2013,FMC,4,95,5/11: 2 oil and gas producers + 2 water injectors
Northwest Europe,Norway,25/1,Storklakken,Storklakken,Det norske oljeselskap,Possible,,2015,,1,107,
Northwest Europe,Norway,25/11,Svalin C (ex-Grane-C),Svalin C (ex-Grane C),Statoil,Installed,,2013,Aker Solutions,2,120,
Northwest Europe,Norway,33/9,Sygna,Sygna,Statoil,Installed,Template,2000,FMC,3,160,
Northwest Europe,Norway,1/6,Tjalve (ex-NW Tor),Tjalve,ConocoPhillips,Possible,Satellite,2018,,2,72,
Northwest Europe,Norway,6506/11,Tofte,Tofte,Statoil,Installed,Satellite,2006,,1,275,Drilled from Kristin Template
Northwest Europe,Norway,31/5,Troll East (Gas),"TOGI Decommissioning, TOGI (Troll Oseberg Gas Injection)",Statoil,Removed,Template,1989,Cooper Cameron,5,303,
Northwest Europe,Norway,1/9a,Tommeliten Gamma,Tommeliten,Statoil,Removed,Template,1987,Aker Huges,6,75,
Northwest Europe,Norway,1/9a,Tommeliten Alpha,Tommeliten Alpha (Huldra Reuse project),ConocoPhillips,Possible,,2018,,2,70,
Northwest Europe,Norway,34/7,Tordis,Tordis,Statoil,Installed,Template,1994,ABB Vetco Gray,1,200,
Northwest Europe,Norway,34/7,Tordis,Tordis,Statoil,Installed,Satellite,1994,ABB Vetco Gray,4,198,
Northwest Europe,Norway,34/7,Tordis,Tordis,Statoil,Installed,Template,1999,ABB Vetco Gray,1,223,
Northwest Europe,Norway,34/7,Tordis,Tordis East,Statoil,Installed,Template,2003,ABB Vetco Gray,3,198,
Northwest Europe,Norway,34/7,Tordis,Tordis Extenstion 2,Statoil,Installed,Template,2000,ABB Vetco Gray,1,198,
Northwest Europe,Norway,34/7,Tordis,Tordis Ior,Statoil,Installed,Template,2007,FMC,1,198,Subsea Separator
Northwest Europe,Norway,6406/3,Trestakk,Trestakk,Statoil,Possible,Template,2018,,2,301,Orig to be incl in development of Tyrihans+Lavrans+Kristen. No immed plans to develop - was possible tie-back to Aasgard/Kristen
Northwest Europe,Norway,6406/3,Trestakk,Trestakk,Statoil,Planned,,2018,,5,300,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll 2015,Statoil,Construction,,2015,Aker Solutions,15,316,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll B Gas Injection,Statoil,Installed,,2011,FMC,2,343,
Northwest Europe,Norway,,Troll East (Gas),Troll CO2 Storage,Statoil,Possible,Satellite,2018,,2,330,Proposed CO2 injection wells
Northwest Europe,Norway,31/6a,Troll West (Oil),Troll O2,Statoil,Installed,,2011,FMC,4,338,3/11: first two wells started production in 2010
Northwest Europe,Norway,31/2,Troll West (Oil),Troll Trees Replacement,Statoil,Installed,,2011,Aker Solutions,3,330,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase I,Statoil,Installed,,1996,,4,329,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase I,Statoil,Installed,,1997,,6,318,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase I,Statoil,Installed,Template,2000,Kvaerner Brug,8,300,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase I,Statoil,Installed,Cluster,2001,,7,330,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase I,Statoil,Installed,,2003,,8,330,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase I,Statoil,Installed,Satellite,2004,Kvaerner Brug,8,300,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase I,Statoil,Installed,,2005,Kvaerner Brug,8,330,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase II,Statoil,Installed,,2000,Aker Kvaerner,4,336,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase II,Statoil,Installed,,2001,Kvaerner Brug,3,337,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase II,Statoil,Installed,,2005,Aker Kvaerner,8,336,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase II,Statoil,Installed,,2006,Aker Kvaerner,8,342,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase II,Statoil,Installed,,2006,Aker Kvaerner,8,329,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase II,Statoil,Installed,,2006,Aker Kvaerner,9,353,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase II,Statoil,Installed,,2007,Aker Kvaerner,8,341,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll West Phase II,Statoil,Installed,,2008,,8,330,
Northwest Europe,Norway,6608/10,Trost,Trost,Statoil,Possible,,2016,,2,380,Number of trees is ODSP assumption
Northwest Europe,Norway,3/7,Trym,Trym,"DONG, Shell",Installed,Satellite,2010,Aker Kvaerner,2,88,
Northwest Europe,Norway,30/5,Tune,Tune South,Statoil,Installed,Satellite,2009,,1,90,10/07: Well to be drilled 2008. Planned subsea development.
Northwest Europe,Norway,30/8,Tune,"Tune, Tune decommissioning",Statoil,Installed,Template,2002,Kvaerner Brug,4,95,
Northwest Europe,Norway,6406/3,Tyrihans,Tyrihans,Statoil,Installed,Template,2008,FMC,2,275,
Northwest Europe,Norway,6406/3,Tyrihans,Tyrihans,Statoil,Installed,Template,2011,FMC,1,283,
Northwest Europe,Norway,6406/3,Tyrihans,Tyrihans,Statoil,Installed,Template,2011,FMC,3,268,
Northwest Europe,Norway,6406/3,Tyrihans,Tyrihans,Statoil,Installed,Template,2012,FMC,3,270,
Northwest Europe,Norway,6407/1,Tyrihans,Tyrihans,Statoil,Installed,Template,2012,FMC,3,285,"T.South = gas, T.North = oil. Selected as Kristen tie-back. 5 templates Subsea 7 testing new methods for inst ss trees,utilizing crane barge Uglen & support vessel Botnica."
Northwest Europe,Norway,,,Tyrihans extension,Statoil,Installed,,2014,FMC,2,285,
Northwest Europe,Norway,6608/10,Urd,Urd,Statoil,Installed,Satellite,2005,FMC,3,381,
Northwest Europe,Norway,6608/10,Urd,Urd,Statoil,Installed,Template,2006,FMC,6,378,
Northwest Europe,Norway,25/4,Vale,Vale,"Centrica, Statoil",Installed,Template,2002,FMC,1,114,
Northwest Europe,Norway,35/11,Vega,Vega,Statoil,Installed,Satellite,2010,FMC,2,361,"FMC awarded subsea systems. Scope: 6 trees, 3 manifolds. Main deliveries planned Ap 2009.Greenland Group expects subcont from FMC for fab,assembly,&testing of the 3 template"
Northwest Europe,Norway,35/8,Vega,Vega,Statoil,Installed,Satellite,2010,FMC,2,381,"FMC awarded subsea systems. Scope: 6 trees, 3 manifolds. Main deliveries planned Ap 2009.Greenland Group expects subcont from FMC for fab,assembly,&testing of the 3 template"
Northwest Europe,Norway,35/8,Vega,Vega,Statoil,Installed,Satellite,2011,FMC,2,377,"FMC awarded subsea systems. Scope: 6 trees, 3 manifolds. Main deliveries planned Ap 2009.Greenland Group expects subcont from FMC for fab,assembly,&testing of the 3 template"
Northwest Europe,Norway,34/7,Vigdis,Vigdis,Statoil,Installed,Template,1997,ABB Vetco Gray,7,281,
Northwest Europe,Norway,34/7,Vigdis,Vigdis,Statoil,Installed,Template,2000,ABB Vetco Gray,4,289,
Northwest Europe,Norway,34/7,Vigdis,Vigdis,Statoil,Installed,Template,2004,ABB Vetco Gray,5,283,
Northwest Europe,Norway,34/7,Vigdis,Vigdis Extension,Statoil,Installed,Template,2007,FMC,3,280,"Statoil will take over operatorship on January 1, 2003. First production expected late 2003/early 2004. POD submitted.FMC Kongsberg received LOI for supply of ss equip. POD approved by Norwegian authorities."
Northwest Europe,Norway,34/7,Vigdis,Vigdis Extension II,Statoil,Installed,Template,2009,FMC,4,219,
